sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:15:43.506135+00:00,humidity,59.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:15:43.506135+00:00,temperature,29.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:18:12.165487+00:00,P2,9.93
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:18:12.165487+00:00,P1,12.13
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:18:13.474129+00:00,humidity,59.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:18:13.474129+00:00,temperature,29.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:23:12.121563+00:00,humidity,60.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:23:12.121563+00:00,temperature,29.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:30:39.359894+00:00,humidity,59.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:30:39.359894+00:00,temperature,28.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:43:08.621404+00:00,humidity,59.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:43:08.621404+00:00,temperature,29.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:45:38.508517+00:00,P2,9.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:45:38.508517+00:00,P1,16.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:45:39.860569+00:00,humidity,60.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:45:39.860569+00:00,temperature,29.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:48:10.727734+00:00,P2,16.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:48:10.727734+00:00,P1,18.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:48:11.917181+00:00,humidity,59.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:48:11.917181+00:00,temperature,29.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:50:44.841144+00:00,humidity,60.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T09:50:44.841144+00:00,temperature,29.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:03:11.301334+00:00,P2,35.13
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:03:11.301334+00:00,P1,38.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:05:44.006455+00:00,P2,19.83
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:05:44.006455+00:00,P1,22.03
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:10:44.791313+00:00,P2,23.57
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:10:44.791313+00:00,P1,26.27
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:18:16.624164+00:00,P2,33.47
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:18:16.624164+00:00,P1,36.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:20:47.719747+00:00,humidity,59.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:20:47.719747+00:00,temperature,29.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:33:16.175338+00:00,P2,67.13
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:33:16.175338+00:00,P1,72.37
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:33:17.080142+00:00,humidity,57.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:33:17.080142+00:00,temperature,29.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:38:16.383933+00:00,P2,12.97
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:38:16.383933+00:00,P1,15.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:40:52.674544+00:00,P2,30.03
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:40:52.674544+00:00,P1,32.47
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:40:56.935274+00:00,humidity,57.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:40:56.935274+00:00,temperature,30.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:43:26.841124+00:00,humidity,56.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:43:26.841124+00:00,temperature,30.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:48:27.536319+00:00,humidity,55.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:48:27.536319+00:00,temperature,30.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:53:29.410313+00:00,P2,4.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:53:29.410313+00:00,P1,5.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:53:31.008301+00:00,humidity,54.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:53:31.008301+00:00,temperature,30.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:58:30.798812+00:00,P2,4.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T10:58:30.798812+00:00,P1,8.33
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:04:09.574276+00:00,P2,6.23
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:04:09.574276+00:00,P1,8.03
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:06:44.237637+00:00,P2,12.37
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:06:44.237637+00:00,P1,14.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:06:47.594874+00:00,humidity,55.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:06:47.594874+00:00,temperature,30.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:09:16.134276+00:00,P2,17.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:09:16.134276+00:00,P1,23.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:09:18.835553+00:00,humidity,53.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:09:18.835553+00:00,temperature,29.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:11:53.288472+00:00,P2,8.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:11:53.288472+00:00,P1,11.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:11:54.068196+00:00,humidity,54.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:11:54.068196+00:00,temperature,29.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:19:33.038652+00:00,P2,7.18
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:19:33.038652+00:00,P1,11.68
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:19:34.680578+00:00,humidity,56.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:19:34.680578+00:00,temperature,28.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:22:04.082308+00:00,P2,15.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:22:04.082308+00:00,P1,19.23
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:22:06.957930+00:00,humidity,57.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:22:06.957930+00:00,temperature,28.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:27:07.438431+00:00,P2,15.57
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:27:07.438431+00:00,P1,21.17
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:29:40.703872+00:00,P2,7.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:29:40.703872+00:00,P1,14.63
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:29:44.846318+00:00,humidity,59.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:29:44.846318+00:00,temperature,27.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:32:16.614335+00:00,P2,10.77
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:32:16.614335+00:00,P1,13.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:34:48.921847+00:00,P2,39.83
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:34:48.921847+00:00,P1,56.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:34:51.800225+00:00,humidity,64.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:34:51.800225+00:00,temperature,27.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:37:31.426548+00:00,P2,9.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:37:31.426548+00:00,P1,15.67
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:37:34.747391+00:00,humidity,60.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:37:34.747391+00:00,temperature,27.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:40:08.170022+00:00,P2,9.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:40:08.170022+00:00,P1,22.13
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:40:10.996136+00:00,humidity,61.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:40:10.996136+00:00,temperature,26.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:42:44.245677+00:00,P2,7.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:42:44.245677+00:00,P1,12.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:42:44.782268+00:00,humidity,62.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:42:44.782268+00:00,temperature,26.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:45:14.422042+00:00,P2,8.07
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:45:14.422042+00:00,P1,15.33
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:45:16.744442+00:00,humidity,63.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:45:16.744442+00:00,temperature,26.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:47:49.328593+00:00,P2,9.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:47:49.328593+00:00,P1,22.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:50:26.197528+00:00,P2,12.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:50:26.197528+00:00,P1,19.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:50:27.915476+00:00,humidity,65.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:50:27.915476+00:00,temperature,26.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:54:18.039503+00:00,humidity,66.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:54:18.039503+00:00,temperature,25.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:56:51.108780+00:00,P2,9.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T11:56:51.108780+00:00,P1,17.97
